[5];6.310907482355212;;[10];0.0;;[10];5.722388113894951;;0.6239455022101115;0.9725389300320731;0.7272824169470121;0.7272824169470121
0.5;0.5;0.7272824169470121
0.5;1;0.7272824169470121
0.5;1.5;0.7272824169470121
0.5;2;0.7272824169470121
0.5;3;0.7272824169470121
0.5;4;0.7272824169470121
0.5;5;0.7272824169470121
0.5;10;0.7272824169470121
1;0.5;0.9725389300320731
1;1;0.7272824169470121
1;1.5;0.7272824169470121
1;2;0.7272824169470121
1;3;0.7272824169470121
1;4;0.7272824169470121
1;5;0.7272824169470121
1;10;0.7272824169470121
1.5;0.5;0.9725389300320731
1.5;1;0.9725389300320731
1.5;1.5;0.7272824169470121
1.5;2;0.7272824169470121
1.5;3;0.7272824169470121
1.5;4;0.7272824169470121
1.5;5;0.7272824169470121
1.5;10;0.7272824169470121
2;0.5;0.9725389300320731
2;1;0.9725389300320731
2;1.5;0.9725389300320731
2;2;0.7272824169470121
2;3;0.7272824169470121
2;4;0.7272824169470121
2;5;0.7272824169470121
2;10;0.7272824169470121
3;0.5;0.9725389300320731
3;1;0.9725389300320731
3;1.5;0.9725389300320731
3;2;0.9725389300320731
3;3;0.7272824169470121
3;4;0.7272824169470121
3;5;0.7272824169470121
3;10;0.7272824169470121
4;0.5;0.9725389300320731
4;1;0.9725389300320731
4;1.5;0.9725389300320731
4;2;0.9725389300320731
4;3;0.9725389300320731
4;4;0.7272824169470121
4;5;0.7272824169470121
4;10;0.7272824169470121
5;0.5;0.9725389300320731
5;1;0.9725389300320731
5;1.5;0.9725389300320731
5;2;0.9725389300320731
5;3;0.9725389300320731
5;4;0.7272824169470121
5;5;0.7272824169470121
5;10;0.7272824169470121
10;0.5;0.9725389300320731
10;1;0.9725389300320731
10;1.5;0.9725389300320731
10;2;0.9725389300320731
10;3;0.9725389300320731
10;4;0.9725389300320731
10;5;0.9725389300320731
10;10;0.7272824169470121
